0.0, 33.0
10.0, 32.0
20.0, 31.0
30.0, 30.0
40.0, 29.0
50.0, 28.0
60.0, 27.0
70.0, 26.0
80.0, 25.0
90.0, 24.0
100.0, 23.0
110.0, 22.0
120.0, 21.0
130.0, 20.0
140.0, 20.0
150.0, 20.0
160.0, 20.0
170.0, 20.0
180.0, 20.0
190.0, 19.0
200.0, 19.0
210.0, 19.0
220.0, 19.0
230.0, 19.0
240.0, 18.0
250.0, 18.0
260.0, 18.0
270.0, 18.0
280.0, 17.0
290.0, 17.0
300.0, 17.0
310.0, 17.0
320.0, 17.0
330.0, 17.0
340.0, 17.0
350.0, 17.0
360.0, 16.0
370.0, 15.0
380.0, 14.0
390.0, 13.0
400.0, 12.0
410.0, 11.0
420.0, 10.0
430.0, 9.0
440.0, 8.0
450.0, 7.0
460.0, 6.0
470.0, 5.0
480.0, 4.0
490.0, 3.0
500.0, 2.0
